fars,distance_fars,finger_tops,distance_fingers_top,img,gesture
"[(0.3712871287128713, 0.3626943005181347), (0.5396039603960396, 0.48704663212435234), (0.5445544554455446, 0.5906735751295337), (0.48514851485148514, 0.6787564766839378)]","[0.2108178354352738, 0.2871752147853892, 0.28715290731537574, 0.2569421011330319]","[(0.4603960396039604, 0.11398963730569948), (0.8366336633663366, 0.39896373056994816), (0.8811881188118812, 0.5751295336787565), (0.806930693069307, 0.694300518134715), (0.6683168316831684, 0.8756476683937824)]","[0.3815837924562797, 0.5097539376103725, 0.5298538805332602, 0.4850658122326997, 0.4346526329784565]",img_2528.png,0
"[(0.36162361623616235, 0.35135135135135137), (0.5645756457564576, 0.4671814671814672), (0.5719557195571956, 0.5752895752895753), (0.5239852398523985, 0.6795366795366795)]","[0.24548121464410147, 0.3390427292338513, 0.3336261600263582, 0.3050109770229992]","[(0.3837638376383764, 0.0694980694980695), (0.8228782287822878, 0.28185328185328185), (0.922509225092251, 0.4980694980694981), (0.8560885608856088, 0.7258687258687259), (0.6789667896678967, 0.9034749034749034)]","[0.41068720632694233, 0.557333294426224, 0.5903634947627899, 0.5468930033665339, 0.4641776860945451]",img_875.png,0
"[(0.23904382470119523, 0.44607843137254904), (0.5258964143426295, 0.47058823529411764), (0.5657370517928287, 0.5833333333333334), (0.549800796812749, 0.7303921568627451)]","[0.2708204579197191, 0.3920991503352992, 0.3802301585548867, 0.3367127191419137]","[(0.19123505976095617, 0.09803921568627451), (0.7689243027888446, 0.18627450980392157), (0.9083665338645418, 0.35294117647058826), (0.8924302788844621, 0.5490196078431373), (0.7848605577689243, 0.8578431372549019)]","[0.4786863058903347, 0.6515886040140403, 0.6831211891095795, 0.6237904935540453, 0.5101416577092542]",img_1851.png,0
"[(0.3038461538461538, 0.3620689655172414), (0.5423076923076923, 0.43103448275862066), (0.5769230769230769, 0.5517241379310345), (0.5538461538461539, 0.6853448275862069)]","[0.26192094739723626, 0.36347704466393493, 0.3571572103359802, 0.32720460591345446]","[(0.2846153846153846, 0.05172413793103448), (0.7653846153846153, 0.17672413793103448), (0.9115384615384615, 0.38362068965517243), (0.9, 0.6293103448275862), (0.7653846153846153, 0.896551724137931)]","[0.44585062263562264, 0.5948191241766105, 0.628952124414601, 0.5870144068271562, 0.5033979937622551]",img_956.png,0
"[(0.25203252032520324, 0.39906103286384975), (0.5203252032520326, 0.45539906103286387), (0.5487804878048781, 0.5774647887323944), (0.516260162601626, 0.7089201877934272)]","[0.2380843095462073, 0.3489066429472955, 0.33531075180883196, 0.2954216127213436]","[(0.26422764227642276, 0.07511737089201878), (0.7967479674796748, 0.23943661971830985), (0.9146341463414634, 0.4225352112676056), (0.8536585365853658, 0.6338028169014085), (0.7317073170731707, 0.8826291079812206)]","[0.4427459636057472, 0.6010332511398812, 0.6297469305849743, 0.5538653042708692, 0.4683393413741314]",img_403.png,0
"[(0.4588744588744589, 0.3401015228426396), (0.5930735930735931, 0.5076142131979695), (0.5757575757575758, 0.6142131979695431), (0.5064935064935064, 0.6954314720812182)]","[0.2679389021570769, 0.3526892607632074, 0.34911814072790565, 0.3167933617793845]","[(0.6103896103896104, 0.14720812182741116), (0.8701298701298701, 0.5126903553299492), (0.8831168831168831, 0.6548223350253807), (0.7922077922077922, 0.8324873096446701), (0.6233766233766234, 0.9543147208121827)]","[0.427060164465042, 0.5634908786061429, 0.5833481866499153, 0.5514929877786817, 0.48252527295113035]",img_2917.png,0
"[(0.3615023474178404, 0.373134328358209), (0.5352112676056338, 0.48258706467661694), (0.5586854460093896, 0.582089552238806), (0.48826291079812206, 0.6716417910447762)]","[0.22218141166593627, 0.29737885675813647, 0.3040667194814883, 0.25781478267597185]","[(0.4272300469483568, 0.10945273631840796), (0.8262910798122066, 0.35323383084577115), (0.892018779342723, 0.5323383084577115), (0.8309859154929577, 0.6567164179104478), (0.6666666666666666, 0.8656716417910447)]","[0.3941539687167281, 0.5258503553728698, 0.5481268515169215, 0.5036071354781543, 0.42455801074617466]",img_2062.png,0
"[(0.32452830188679244, 0.3308270676691729), (0.5471698113207547, 0.43609022556390975), (0.5547169811320755, 0.556390977443609), (0.5094339622641509, 0.6616541353383458)]","[0.23256246961789562, 0.323412514806735, 0.312163026480958, 0.28518434093138356]","[(0.33962264150943394, 0.05639097744360902), (0.8339622641509434, 0.2518796992481203), (0.9207547169811321, 0.46616541353383456), (0.8603773584905661, 0.6954887218045113), (0.6490566037735849, 0.9060150375939849)]","[0.40566141300750885, 0.5600845946762799, 0.575894625887511, 0.5333515387855612, 0.4421394974132312]",img_1448.png,0
"[(0.518918918918919, 0.45930232558139533), (0.2864864864864865, 0.47674418604651164), (0.572972972972973, 0.5290697674418605), (0.5945945945945946, 0.6569767441860465)]","[0.36120283624609373, 0.2543791267898652, 0.3623291610885019, 0.336866872451661]","[(0.6756756756756757, 0.13953488372093023), (0.7081081081081081, 0.14534883720930233), (0.8486486486486486, 0.2441860465116279), (0.8648648648648649, 0.37209302325581395), (0.5405405405405406, 0.43023255813953487)]","[0.5997094795193889, 0.6118811941948932, 0.6399122516598033, 0.6001666200238174, 0.38633915368451904]",img_2550.png,0
"[(0.31716417910447764, 0.31417624521072796), (0.5522388059701493, 0.4521072796934866), (0.5522388059701493, 0.5708812260536399), (0.48880597014925375, 0.6666666666666666)]","[0.22557543298319943, 0.3241888824846886, 0.31553215627152664, 0.28016981115757056]","[(0.40671641791044777, 0.07662835249042145), (0.8656716417910447, 0.39846743295019155), (0.9253731343283582, 0.5632183908045977), (0.8208955223880597, 0.7318007662835249), (0.6119402985074627, 0.9080459770114943)]","[0.3975432791914042, 0.55152211272367, 0.5827501171995364, 0.5219467923414359, 0.43299052648644704]",img_1915.png,0
